model_name,accuracy,precision,recall,f1_score,roc_auc,avg_precision,cv_roc_auc_mean,cv_roc_auc_std,training_time_seconds,deployment_ready,performance_category,roc_auc_rank
Logistic Regression,0.7908643081056874,0.7882926829268293,0.7637051039697542,0.7758041286605857,0.8662880585609138,0.8387483965483878,0.8667948452085659,0.003234321879008481,0.005869626998901367,True,Good,3.0
Random Forest,0.8378862516793552,0.8052631578947368,0.8676748582230623,0.835304822565969,0.9114177693761816,0.8805706793543381,0.9068591608127765,0.004816862152496811,0.18687105178833008,True,Excellent,2.0
Gradient Boosting,0.8504254366323332,0.8214920071047958,0.8742911153119093,0.8470695970695971,0.9187382858062181,0.8811592380210516,0.9132238968499579,0.004212340993844776,0.9802029132843018,True,Excellent,1.0
